Rank,Word,Count,Frequency
263,whose,87,0.0004001637451646881
264,sometimes,87,0.0004001637451646881
265,seems,87,0.0004001637451646881
266,black,87,0.0004001637451646881
267,going,86,0.00039556416188693305
268,seas,86,0.00039556416188693305
269,sun,86,0.00039556416188693305
270,matter,85,0.00039096457860917803
271,set,84,0.00038636499533142296
272,arm,84,0.00038636499533142296
273,years,84,0.00038636499533142296
274,sail,84,0.00038636499533142296
275,itself,84,0.00038636499533142296
276,seem,84,0.00038636499533142296
277,within,83,0.00038176541205366793
278,moby,82,0.0003771658287759129
279,eye,82,0.0003771658287759129
280,wild,82,0.0003771658287759129
281,standing,82,0.0003771658287759129
282,hard,81,0.0003725662454981579
283,mind,81,0.0003725662454981579
284,known,80,0.0003679666622204028
285,always,80,0.0003679666622204028
286,dick,79,0.0003633670789426478
287,tail,79,0.0003633670789426478
288,days,79,0.0003633670789426478
289,soul,79,0.0003633670789426478
290,young,79,0.0003633670789426478
291,ere,79,0.0003633670789426478
292,present,79,0.0003633670789426478
293,length,78,0.00035876749566489277
294,oil,78,0.00035876749566489277
295,death,78,0.00035876749566489277
296,large,78,0.00035876749566489277
297,lay,78,0.00035876749566489277
298,ahab’s,77,0.00035416791238713775
299,word,77,0.00035416791238713775
300,ship’s,77,0.00035416791238713775
301,cabin,76,0.0003495683291093827
302,least,76,0.0003495683291093827
303,ships,76,0.0003495683291093827
304,beneath,76,0.0003495683291093827
305,sailor,76,0.0003495683291093827
306,enough,76,0.0003495683291093827
307,iron,76,0.0003495683291093827
308,instant,75,0.00034496874583162765
309,harpooneer,75,0.00034496874583162765
310,light,75,0.00034496874583162765
311,done,74,0.00034036916255387263
312,bildad,74,0.00034036916255387263
313,land,73,0.0003357695792761176
314,vast,73,0.0003357695792761176
315,living,73,0.0003357695792761176
316,cannot,73,0.0003357695792761176
317,put,73,0.0003357695792761176
318,morning,73,0.0003357695792761176
319,often,73,0.0003357695792761176
320,jonah,72,0.00033116999599836253
321,rather,72,0.00033116999599836253
322,harpoon,72,0.00033116999599836253
323,bed,72,0.00033116999599836253
324,yes,71,0.0003265704127206075
325,keep,71,0.0003265704127206075
326,case,70,0.0003219708294428525
327,near,70,0.0003219708294428525
328,general,70,0.0003219708294428525
329,peleg,70,0.0003219708294428525
330,name,69,0.00031737124616509747
331,open,69,0.00031737124616509747
332,myself,69,0.00031737124616509747
333,four,68,0.0003127716628873424
334,ocean,68,0.0003127716628873424
335,wind,68,0.0003127716628873424
336,point,68,0.0003127716628873424
337,whalemen,68,0.0003127716628873424
338,business,68,0.0003127716628873424
339,therefore,67,0.00030817207960958737
340,pip,67,0.00030817207960958737
341,deep,66,0.00030357249633183235
342,having,66,0.00030357249633183235
343,left,66,0.00030357249633183235
344,turned,66,0.00030357249633183235
345,waters,66,0.00030357249633183235
346,best,65,0.0002989729130540773
347,since,65,0.0002989729130540773
348,fire,65,0.0002989729130540773
349,together,64,0.00029437332977632225
350,lord,64,0.00029437332977632225
351,order,64,0.00029437332977632225
352,reason,64,0.00029437332977632225
353,looked,64,0.00029437332977632225
354,i’ll,64,0.00029437332977632225
355,lower,64,0.00029437332977632225
356,aloft,63,0.00028977374649856723
357,hear,63,0.00028977374649856723
358,board,63,0.00028977374649856723
359,there’s,63,0.00028977374649856723
360,chase,62,0.0002851741632208122
361,second,62,0.0002851741632208122
362,mr,62,0.0002851741632208122
363,mate,62,0.0002851741632208122
364,better,62,0.0002851741632208122
365,further,62,0.0002851741632208122
366,fishery,61,0.00028057457994305713
367,forth,60,0.0002759749966653021
368,gone,59,0.0002713754133875471
369,mouth,59,0.0002713754133875471
370,themselves,59,0.0002713754133875471
371,live,59,0.0002713754133875471
372,fine,58,0.00026677583010979207
373,book,57,0.000262176246832037
374,feel,57,0.000262176246832037
375,turn,57,0.000262176246832037
376,looking,57,0.000262176246832037
377,find,56,0.00025757666355428197
378,above,56,0.00025757666355428197
379,harpooneers,56,0.00025757666355428197
380,peculiar,56,0.00025757666355428197
381,home,56,0.00025757666355428197
382,dark,56,0.00025757666355428197
383,next,56,0.00025757666355428197
384,gutenbergtm,56,0.00025757666355428197
385,goes,55,0.00025297708027652695
386,call,55,0.00025297708027652695
387,short,55,0.00025297708027652695
388,bottom,55,0.00025297708027652695
389,entire,55,0.00025297708027652695
390,less,54,0.00024837749699877193
391,run,54,0.00024837749699877193
392,blood,54,0.00024837749699877193
393,jaw,54,0.00024837749699877193
394,curious,54,0.00024837749699877193
395,tashtego,54,0.00024837749699877193
396,mark,53,0.00024377791372101688
397,grand,53,0.00024377791372101688
398,coming,53,0.00024377791372101688
399,close,53,0.00024377791372101688
400,taking,53,0.00024377791372101688
401,cook,53,0.00024377791372101688
402,began,53,0.00024377791372101688
403,comes,53,0.00024377791372101688
404,slowly,52,0.00023917833044326183
405,turning,52,0.00023917833044326183
406,broad,52,0.00023917833044326183
407,below,52,0.00023917833044326183
408,indian,51,0.0002345787471655068
409,taken,51,0.0002345787471655068
410,particular,51,0.0002345787471655068
411,rest,51,0.0002345787471655068
412,ivory,51,0.0002345787471655068
413,used,51,0.0002345787471655068
414,man’s,51,0.0002345787471655068
415,english,50,0.00022997916388775176
416,view,50,0.00022997916388775176
417,behind,50,0.00022997916388775176
418,stern,50,0.00022997916388775176
419,hundred,50,0.00022997916388775176
420,speak,50,0.00022997916388775176
421,sharks,50,0.00022997916388775176
422,green,50,0.00022997916388775176
423,thousand,50,0.00022997916388775176
424,forward,50,0.00022997916388775176
425,suddenly,50,0.00022997916388775176
426,craft,50,0.00022997916388775176
427,nevertheless,50,0.00022997916388775176
428,savage,50,0.00022997916388775176
429,what’s,50,0.00022997916388775176
430,watch,49,0.00022537958060999674
431,besides,49,0.00022537958060999674
432,cut,49,0.00022537958060999674
433,form,49,0.00022537958060999674
434,took,49,0.00022537958060999674
435,pequod’s,49,0.00022537958060999674
436,use,48,0.0002207799973322417
437,story,48,0.0002207799973322417
438,coffin,48,0.0002207799973322417
439,waves,48,0.0002207799973322417
440,lost,48,0.0002207799973322417
441,ten,48,0.0002207799973322417
442,several,48,0.0002207799973322417
443,voice,48,0.0002207799973322417
444,sailors,48,0.0002207799973322417
445,common,48,0.0002207799973322417
446,bows,48,0.0002207799973322417
447,pull,48,0.0002207799973322417
448,teeth,47,0.00021618041405448667
449,mighty,47,0.00021618041405448667
450,struck,47,0.00021618041405448667
451,kept,47,0.00021618041405448667
452,means,47,0.00021618041405448667
453,whatever,46,0.00021158083077673162
454,touching,46,0.00021158083077673162
455,vessel,46,0.00021158083077673162
456,told,46,0.00021158083077673162
457,sure,46,0.00021158083077673162
458,else,46,0.00021158083077673162
459,says,46,0.00021158083077673162
460,broken,46,0.00021158083077673162
461,got,46,0.00021158083077673162
462,fast,46,0.00021158083077673162
463,spout,46,0.00021158083077673162
464,heads,45,0.0002069812474989766
465,whom,45,0.0002069812474989766
466,bones,45,0.0002069812474989766
467,king,45,0.0002069812474989766
468,caught,45,0.0002069812474989766
469,sat,45,0.0002069812474989766
470,especially,45,0.0002069812474989766
471,sleep,45,0.0002069812474989766
472,anything,45,0.0002069812474989766
473,mine,45,0.0002069812474989766
474,fact,45,0.0002069812474989766
475,carpenter,44,0.00020238166422122155
476,queer,44,0.00020238166422122155
477,somehow,44,0.00020238166422122155
478,devil,44,0.00020238166422122155
479,noble,44,0.00020238166422122155
480,works,44,0.00020238166422122155
481,chance,44,0.00020238166422122155
482,wide,44,0.00020238166422122155
483,straight,44,0.00020238166422122155
484,running,44,0.00020238166422122155
485,parts,43,0.00019778208094346653
486,earth,43,0.00019778208094346653
487,making,43,0.00019778208094346653
488,heaven,43,0.00019778208094346653
489,rope,43,0.00019778208094346653
490,knew,43,0.00019778208094346653
491,nigh,43,0.00019778208094346653
492,blue,43,0.00019778208094346653
493,rolled,43,0.00019778208094346653
494,room,43,0.00019778208094346653
495,people,43,0.00019778208094346653
496,sudden,43,0.00019778208094346653
497,alone,42,0.00019318249766571148
498,mere,42,0.00019318249766571148
499,purpose,42,0.00019318249766571148
500,passed,42,0.00019318249766571148
501,door,42,0.00019318249766571148
502,seamen,42,0.00019318249766571148
503,’em,42,0.00019318249766571148
504,stranger,42,0.00019318249766571148
505,concerning,42,0.00019318249766571148
506,course,42,0.00019318249766571148
507,wondrous,42,0.00019318249766571148
508,surface,42,0.00019318249766571148
509,forecastle,41,0.00018858291438795646
510,clear,41,0.00018858291438795646
511,art,41,0.00018858291438795646
512,calm,41,0.00018858291438795646
513,either,41,0.00018858291438795646
514,lance,41,0.00018858291438795646
515,hours,41,0.00018858291438795646
516,quite,41,0.00018858291438795646
517,sharp,41,0.00018858291438795646
518,help,41,0.00018858291438795646
519,felt,41,0.00018858291438795646
520,sound,41,0.00018858291438795646
521,nature,40,0.0001839833311102014
522,wake,40,0.0001839833311102014
523,mortal,40,0.0001839833311102014
524,quick,40,0.0001839833311102014
525,plain,40,0.0001839833311102014
526,saying,40,0.0001839833311102014
527,makes,40,0.0001839833311102014
528,ground,40,0.0001839833311102014
529,brow,40,0.0001839833311102014
530,masthead,39,0.00017938374783244639
531,hat,39,0.00017938374783244639
532,plainly,39,0.00017938374783244639
533,distance,39,0.00017938374783244639
534,bow,39,0.00017938374783244639
535,monster,39,0.00017938374783244639
536,object,39,0.00017938374783244639
537,mass,39,0.00017938374783244639
538,mean,39,0.00017938374783244639
539,various,39,0.00017938374783244639
540,hour,39,0.00017938374783244639
541,mates,39,0.00017938374783244639
542,oars,39,0.00017938374783244639
543,bulwarks,38,0.00017478416455469134
544,others,38,0.00017478416455469134
545,leaving,38,0.00017478416455469134
546,brought,38,0.00017478416455469134
547,fixed,38,0.00017478416455469134
548,around,38,0.00017478416455469134
549,fellow,38,0.00017478416455469134
550,single,38,0.00017478416455469134
551,easy,38,0.00017478416455469134
552,sailed,38,0.00017478416455469134
553,ready,38,0.00017478416455469134
554,five,38,0.00017478416455469134
555,cry,38,0.00017478416455469134
556,darted,38,0.00017478416455469134
557,gave,38,0.00017478416455469134
558,creature,38,0.00017478416455469134
559,power,38,0.00017478416455469134
560,boat’s,38,0.00017478416455469134
561,start,37,0.00017018458127693632
562,placed,37,0.00017018458127693632
563,coast,37,0.00017018458127693632
564,manner,37,0.00017018458127693632
565,famous,37,0.00017018458127693632
566,suppose,37,0.00017018458127693632
567,holding,37,0.00017018458127693632
568,human,37,0.00017018458127693632
569,bone,37,0.00017018458127693632
570,held,37,0.00017018458127693632
571,flukes,37,0.00017018458127693632
572,aspect,37,0.00017018458127693632
573,given,37,0.00017018458127693632
574,daggoo,37,0.00017018458127693632
575,gentlemen,37,0.00017018458127693632
576,steelkilt,37,0.00017018458127693632
577,greenland,36,0.00016558499799918127
578,ago,36,0.00016558499799918127
579,nearly,36,0.00016558499799918127
580,fell,36,0.00016558499799918127
581,previous,36,0.00016558499799918127
582,legs,36,0.00016558499799918127
583,bear,36,0.00016558499799918127
584,cape,36,0.00016558499799918127
585,middle,36,0.00016558499799918127
586,low,36,0.00016558499799918127
587,unknown,36,0.00016558499799918127
588,seeing,36,0.00016558499799918127
589,truth,36,0.00016558499799918127
590,whaleman,36,0.00016558499799918127
591,sails,36,0.00016558499799918127
592,natural,36,0.00016558499799918127
593,pipe,35,0.00016098541472142625
594,skeleton,35,0.00016098541472142625
595,pacific,35,0.00016098541472142625
596,strong,35,0.00016098541472142625
597,killed,35,0.00016098541472142625
598,mad,35,0.00016098541472142625
599,boy,35,0.00016098541472142625
600,sign,35,0.00016098541472142625
601,ha,35,0.00016098541472142625
602,forehead,35,0.00016098541472142625
603,hope,35,0.00016098541472142625
604,gold,35,0.00016098541472142625
605,helm,35,0.00016098541472142625
606,turns,35,0.00016098541472142625
607,except,35,0.00016098541472142625
608,ashore,34,0.0001563858314436712
609,account,34,0.0001563858314436712
610,passage,34,0.0001563858314436712
611,american,34,0.0001563858314436712
612,shot,34,0.0001563858314436712
613,boys,34,0.0001563858314436712
614,red,34,0.0001563858314436712
615,house,34,0.0001563858314436712
616,wonder,34,0.0001563858314436712
617,none,34,0.0001563858314436712
618,thoughts,34,0.0001563858314436712
619,heavy,34,0.0001563858314436712
620,arms,34,0.0001563858314436712
621,remained,34,0.0001563858314436712
622,sailing,34,0.0001563858314436712
623,de,34,0.0001563858314436712
624,terms,33,0.00015178624816591618
625,third,33,0.00015178624816591618
626,brain,33,0.00015178624816591618
627,fifty,33,0.00015178624816591618
628,creatures,33,0.00015178624816591618
629,fear,33,0.00015178624816591618
630,free,33,0.00015178624816591618
631,mastheads,33,0.00015178624816591618
632,rigging,33,0.00015178624816591618
633,idea,33,0.00015178624816591618
634,already,33,0.00015178624816591618
635,didn’t,33,0.00015178624816591618
636,want,33,0.00015178624816591618
637,company,33,0.00015178624816591618
638,hammock,33,0.00015178624816591618
639,skin,33,0.00015178624816591618
640,fair,33,0.00015178624816591618
641,completely,33,0.00015178624816591618
642,top,33,0.00015178624816591618
643,drawing,33,0.00015178624816591618
644,hardly,33,0.00015178624816591618
645,d’ye,33,0.00015178624816591618
646,rolling,32,0.00014718666488816113
647,strike,32,0.00014718666488816113
648,bulk,32,0.00014718666488816113
649,doubt,32,0.00014718666488816113
650,miles,32,0.00014718666488816113
651,unless,32,0.00014718666488816113
652,stop,32,0.00014718666488816113
653,darkness,32,0.00014718666488816113
654,lines,32,0.00014718666488816113
655,table,32,0.00014718666488816113
656,landlord,32,0.00014718666488816113
657,won’t,32,0.00014718666488816113
658,during,32,0.00014718666488816113
659,show,32,0.00014718666488816113
660,proper,32,0.00014718666488816113
661,hence,32,0.00014718666488816113
662,aft,32,0.00014718666488816113
663,intervals,32,0.00014718666488816113
664,gutenberg,31,0.0001425870816104061
665,quarterdeck,31,0.0001425870816104061
666,wood,31,0.0001425870816104061
667,generally,31,0.0001425870816104061
668,received,31,0.0001425870816104061
669,try,31,0.0001425870816104061
670,species,31,0.0001425870816104061
671,island,31,0.0001425870816104061
672,upper,31,0.0001425870816104061
673,chief,31,0.0001425870816104061
674,considering,31,0.0001425870816104061
675,harpoons,31,0.0001425870816104061
676,jet,31,0.0001425870816104061
677,visible,31,0.0001425870816104061
678,planks,31,0.0001425870816104061
679,weather,31,0.0001425870816104061
680,sky,31,0.0001425870816104061
681,substance,31,0.0001425870816104061
682,across,31,0.0001425870816104061
683,pass,31,0.0001425870816104061
684,woe,31,0.0001425870816104061
685,instances,31,0.0001425870816104061
686,rising,31,0.0001425870816104061
687,hull,31,0.0001425870816104061
688,supper,30,0.00013798749833265106
689,late,30,0.00013798749833265106
690,swimming,30,0.00013798749833265106
691,huge,30,0.00013798749833265106
692,steel,30,0.00013798749833265106
693,fresh,30,0.00013798749833265106
694,possible,30,0.00013798749833265106
695,possibly,30,0.00013798749833265106
696,really,30,0.00013798749833265106
697,cold,30,0.00013798749833265106
698,spring,30,0.00013798749833265106
699,soft,30,0.00013798749833265106
700,read,30,0.00013798749833265106
701,carried,30,0.00013798749833265106
702,cast,30,0.00013798749833265106
703,die,30,0.00013798749833265106
704,nose,30,0.00013798749833265106
705,born,30,0.00013798749833265106
706,midnight,29,0.00013338791505489603
707,altogether,29,0.00013338791505489603
708,hast,29,0.00013338791505489603
709,jaws,29,0.00013338791505489603
710,can’t,29,0.00013338791505489603
711,pretty,29,0.00013338791505489603
712,entirely,29,0.00013338791505489603
713,steady,29,0.00013338791505489603
714,smoke,29,0.00013338791505489603
715,vain,29,0.00013338791505489603
716,act,29,0.00013338791505489603
717,astern,29,0.00013338791505489603
718,horn,29,0.00013338791505489603
719,foot,29,0.00013338791505489603
720,words,29,0.00013338791505489603
721,tossed,29,0.00013338791505489603
722,final,29,0.00013338791505489603
723,stands,29,0.00013338791505489603
724,mariners,29,0.00013338791505489603
725,i’ve,29,0.00013338791505489603
726,touch,29,0.00013338791505489603
727,aside,29,0.00013338791505489603
728,person,29,0.00013338791505489603
729,question,29,0.00013338791505489603
730,sideways,29,0.00013338791505489603
731,suspended,29,0.00013338791505489603
732,strangely,29,0.00013338791505489603
733,hammer,29,0.00013338791505489603
734,leeward,29,0.00013338791505489603
735,hoisted,29,0.00013338791505489603
736,whiteness,28,0.00012878833177714099
737,ancient,28,0.00012878833177714099
738,state,28,0.00012878833177714099
739,kind,28,0.00012878833177714099
740,gale,28,0.00012878833177714099
741,leaning,28,0.00012878833177714099
742,knows,28,0.00012878833177714099
743,mild,28,0.00012878833177714099
744,considerable,28,0.00012878833177714099
745,mast,28,0.00012878833177714099
746,following,28,0.00012878833177714099
747,meanwhile,28,0.00012878833177714099
748,hung,28,0.00012878833177714099
749,number,28,0.00012878833177714099
750,shipmates,28,0.00012878833177714099
751,become,28,0.00012878833177714099
752,certainly,28,0.00012878833177714099
753,feeling,28,0.00012878833177714099
754,thinking,28,0.00012878833177714099
755,giving,28,0.00012878833177714099
756,glance,28,0.00012878833177714099
757,o,28,0.00012878833177714099
758,sides,27,0.00012418874849938596
759,lie,27,0.00012418874849938596
760,’tis,27,0.00012418874849938596
761,finally,27,0.00012418874849938596
762,whaleship,27,0.00012418874849938596
763,precisely,27,0.00012418874849938596
764,believe,27,0.00012418874849938596
765,started,27,0.00012418874849938596
766,flying,27,0.00012418874849938596
767,wooden,27,0.00012418874849938596
768,scene,27,0.00012418874849938596
769,somewhat,27,0.00012418874849938596
770,eyeing,27,0.00012418874849938596
771,queequeg’s,27,0.00012418874849938596
772,law,27,0.00012418874849938596
773,looks,27,0.00012418874849938596
774,overboard,27,0.00012418874849938596
775,command,27,0.00012418874849938596
776,dropped,27,0.00012418874849938596
777,wholly,27,0.00012418874849938596
778,ahead,27,0.00012418874849938596
779,alongside,27,0.00012418874849938596
780,electronic,27,0.00012418874849938596
781,states,26,0.00011958916522163092
782,country,26,0.00011958916522163092
783,friend,26,0.00011958916522163092
784,fedallah,26,0.00011958916522163092
785,dart,26,0.00011958916522163092
786,cutting,26,0.00011958916522163092
787,kill,26,0.00011958916522163092
788,talk,26,0.00011958916522163092
789,dutch,26,0.00011958916522163092
790,hearts,26,0.00011958916522163092
791,play,26,0.00011958916522163092
792,floating,26,0.00011958916522163092
793,carry,26,0.00011958916522163092
794,royal,26,0.00011958916522163092
795,forty,26,0.00011958916522163092
796,enormous,26,0.00011958916522163092
797,degree,26,0.00011958916522163092
798,silent,26,0.00011958916522163092
799,seated,26,0.00011958916522163092
800,circumstances,26,0.00011958916522163092
801,nay,26,0.00011958916522163092
802,followed,26,0.00011958916522163092
803,ears,26,0.00011958916522163092
804,gods,26,0.00011958916522163092
805,hump,26,0.00011958916522163092
806,fancy,26,0.00011958916522163092
807,getting,26,0.00011958916522163092
808,i’m,26,0.00011958916522163092
809,otherwise,26,0.00011958916522163092
810,takes,26,0.00011958916522163092
811,circumstance,26,0.00011958916522163092
812,sweet,26,0.00011958916522163092
813,keel,26,0.00011958916522163092
814,bodily,26,0.00011958916522163092
815,pointed,26,0.00011958916522163092
816,according,26,0.00011958916522163092
817,blow,26,0.00011958916522163092
818,blubber,26,0.00011958916522163092
819,stubb’s,25,0.00011498958194387588
820,honor,25,0.00011498958194387588
821,regarded,25,0.00011498958194387588
822,thunder,25,0.00011498958194387588
823,yards,25,0.00011498958194387588
824,learned,25,0.00011498958194387588
825,thirty,25,0.00011498958194387588
826,masts,25,0.00011498958194387588
827,seldom,25,0.00011498958194387588
